ID,song_name,song_singer,song_url,song_comment_num,song_play_num,album_name,album_url,album_score,album_language,album_date,album_genre
34,Yellow Brick Road,Angus & Julia Stone,http://www.xiami.com/song/8GbiBT17750,489,1388626,Down The Way,https://www.xiami.com/album/370445,9.4,英语,2010年03月12日,民谣流行 Folk Pop
35,Why Do You Run?,Ace Enders and A Million Different People,http://www.xiami.com/song/etkV730aac,34,52305,The Secret Wars,https://www.xiami.com/album/329668,无,英语,2008年06月13日,无
36,Amazing,Matt Cardle,http://www.xiami.com/song/mQBmTP95e3c,144,392544,Amazing,https://www.xiami.com/album/496647,9.1,英语,2012年02月17日,无
37,Out Of The Darkness,Matthew And The Atlas,http://www.xiami.com/song/mQJWx75948c,76,73717,Other Rivers,https://www.xiami.com/album/597624404,8.8,英语,2014年04月14日,无
38,I Remember,Patrick Park,http://www.xiami.com/song/xL5bk0cb8c2,56,77067,Love Like Swords,https://www.xiami.com/album/1198350744,7.9,英语,2014年04月24日,根源唱作人 Singer-Songwriter
39,Sad Song,We the Kings,http://www.xiami.com/song/xL2Ostd4027,157,310982,Somewhere Somehow,https://www.xiami.com/album/1686725475,9.2,英语,2013年12月16日,无
40,Laugh Out Loud,Jason Gray,http://www.xiami.com/song/8GoDQ1fc4bb,36,99945,Love Will Have the Final Word,https://www.xiami.com/album/794425910,9.3,英语,2014年03月04日,无
41,You,Future of Forestry,http://www.xiami.com/song/xLx8VVf8c10,118,118059,Young Man Follow,https://www.xiami.com/album/527560,9.3,英语,2012年07月10日,无
42,For The Love Of A Princess,James Horner,http://www.xiami.com/song/eS6xO36eda,1342,2214438,Braveheart (Original Motion Picture Soundtrack),https://www.xiami.com/album/170023,9.7,其他,1995年05月23日,原声 Soundtrack
43,岁月轻狂,李治廷,http://www.xiami.com/song/xLqOdnd0ded,505,621532,岁月神偷 电影音乐专辑,https://www.xiami.com/album/383297,9.4,其他,2010年05月24日,原声 Soundtrack
44,大梦,陈粒,http://www.xiami.com/song/xLJfYZc1d03,142,173663,小梦大半,https://www.xiami.com/album/2100372319,8.6,国语,2016年07月26日,无
45,Cannons,Phil Wickham,http://www.xiami.com/song/mQ7kk66e1f9,3,4544,Singalong,https://www.xiami.com/album/411038,无,英语,2010年08月31日,无
46,Light of the World,Starfield,http://www.xiami.com/song/8GgX2Ke37e6,31,38573,The Kingdom,https://www.xiami.com/album/491650,8.5,英语,2012年01月31日,无
47,おくりびと~memory~,Joe Hisaishi,http://www.xiami.com/song/bAD3Hdf2af,1617,3474757,おくりびと (Original Soundtrack),https://www.xiami.com/album/316088,9.6,日语,2008年09月10日,电影原声 Film Score
48,If I Talk to God,The Last Goodnight,http://www.xiami.com/song/b7fs29f02e,245,452782,Poison Kiss,https://www.xiami.com/album/227651,9.3,英语,2007年08月28日,无
49,I Love You Like The Little Bird,Starflyer 59,http://www.xiami.com/song/bqvb4jr3be38,251,330955,Ghosts of the Past ,https://www.xiami.com/album/339024,8.8,英语,2009年07月28日,无
50,Sycamore,Caspian,http://www.xiami.com/song/xLo4nhda580,320,124075,Tertia,https://www.xiami.com/album/337295,9.2,英语,2009年07月14日,后摇 Post-Rock
51,Explicit.Without You,One Two,http://www.xiami.com/song/xLyNqcac0e8,142,287691,Best Friend,https://www.xiami.com/album/555830,8.9,英语,2012年09月18日,无
52,Who Am I,Jared Lee,http://www.xiami.com/song/xLrkjbbe4d1,228,444760,Who Am I,https://www.xiami.com/album/390321,9.5,英语,2010年02月19日,无
53,女爵 (Live),杨乃文,http://www.xiami.com/song/8GvRq5f208c,91,176408,TIMEQUAKE 演唱会现场实录,https://www.xiami.com/album/1274476393,9.6,国语,2015年06月05日,流行摇滚 Pop Rock
54,小相思,花粥,http://www.xiami.com/song/mQPbc17449c,1041,2562165,乍见之欢,https://www.xiami.com/album/127772410,8.5,国语,2015年03月31日,独立民谣 Indie Folk
55,米店,张玮玮,http://www.xiami.com/song/xLDL0Kc6d6f,155,317110,白银饭店,https://www.xiami.com/album/2100228846,9.8,国语,2012年05月26日,独立民谣 Indie Folk
56,北方女王,尧十三,http://www.xiami.com/song/b1qrags426a2,75,140991,五城记-音乐种子合辑,https://www.xiami.com/album/2100373037,无,国语,2013年01月01日,无
57,Stranger,The Rasmus,http://www.xiami.com/song/8GhvcL173d5,13,28466,The Rasmus,https://www.xiami.com/album/500471,8.8,英语,2012年04月18日,无
58,遗失的美好,张韶涵,http://www.xiami.com/song/xL8E6s96b96,205,1185400,遇见100%幸福2 纯爱白盘,https://www.xiami.com/album/1818878782,无,国语,2005年01月14日,无
